Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4,7u","C_1206_3216Metric",7.670000,-60.930000,90.000000,top
"C2","100n","C_0402_1005Metric",20.830000,-55.930000,270.000000,top
"C3","100n","C_0402_1005Metric",12.600000,-52.710000,0.000000,top
"C4","100n","C_0402_1005Metric",9.400000,-60.930000,90.000000,top
"C5","20p","C_0402_1005Metric",9.900000,-69.330000,0.000000,top
"C6","20p","C_0402_1005Metric",12.900000,-69.330000,180.000000,top
"C7","10n","C_0402_1005Metric",16.400000,-64.230000,180.000000,top
"C8","1u","C_0805_2012Metric",16.800000,-65.760000,180.000000,top
"C9","12p","C_0402_1005Metric",5.200000,-67.830000,0.000000,top
"C10","12p","C_0402_1005Metric",7.200000,-67.830000,180.000000,top
"C11","22u","CP_EIA-3528-21_Kemet-B",18.680000,-77.000000,270.000000,top
"C12","1u","C_0805_2012Metric",21.500000,-75.000000,270.000000,top
"J1","Conn_01x02","easy_plug_short_x2",12.730000,-92.000000,0.000000,top
"J3","Conn_01x03","easy_plug_short_x3",26.200000,-43.460000,270.000000,top
"J4","Conn_01x02","easy_plug_short_x2",12.730000,-1.905000,0.000000,top
"R1","4K7","R_0402_1005Metric",16.430000,-68.070000,180.000000,top
"R2","4K7","R_0402_1005Metric",21.000000,-52.090000,180.000000,top
"SW1","SW_Push","SW_SPST_PTS645",14.000000,-11.000000,0.000000,top
"SW2","SW_Push","SW_SPST_PTS645",14.000000,-26.000000,0.000000,top
"SW3","SW_Push","SW_SPST_PTS645",14.000000,-46.000000,0.000000,top
"U1","STM32F103C8Tx","LQFP-48_7x7mm_P0.5mm",15.100000,-58.430000,90.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",12.160000,-75.800000,180.000000,top
"Y1","8M","Crystal_SMD_5032-2Pin_5.0x3.2mm",11.400000,-66.730000,180.000000,top
"Y2","32K768","Crystal_SMD_3215-2Pin_3.2x1.5mm",6.200000,-66.030000,0.000000,top
